,MF_a_NPV,MF_b_NPV,MF_c_NPV,MF_d_NPV
0,0.70396664,0.4781131,0.53507978,0.46256146
1,0.38463965,0.98163419,0.62901284,0.59338546
2,0.14812691,0.26191713,0.7186794,0.21293217
3,0.31189622,0.10960005,0.41419694,0.62056371
